Table Name, Column Count, Row Count, Table Nulls, % Nulls, Table Blanks, % Blanks, 
actor, 4, 200, 0, 0.00, 0, 0.00, 
address, 9, 603, 4, 0.07, 608, 11.20, 
category, 3, 16, 0, 0.00, 0, 0.00, 
city, 4, 600, 0, 0.00, 0, 0.00, 
country, 3, 109, 0, 0.00, 0, 0.00, 
customer, 9, 599, 0, 0.00, 15, 0.28, 
film, 13, 1000, 1000, 7.69, 0, 0.00, 
film_actor, 3, 5462, 0, 0.00, 0, 0.00, 
film_category, 3, 1000, 0, 0.00, 0, 0.00, 
film_text, 3, 1000, 0, 0.00, 0, 0.00, 
inventory, 4, 4581, 0, 0.00, 0, 0.00, 
language, 3, 6, 0, 0.00, 0, 0.00, 
payment, 7, 16049, 5, 0.00, 24, 0.02, 
rental, 7, 16044, 183, 0.16, 0, 0.00, 
staff, 11, 2, 2, 9.09, 0, 0.00, 
store, 4, 2, 0, 0.00, 0, 0.00, 
