Table Name, Column Count, Row Count, 
actor, 4, 200, 
actors, 4, 200, 
address, 9, 603, 
addresses, 9, 603, 
adres, 9, 603, 
akteur, 4, 200, 
alien, 7, 16049, 
ape, 4, 4581, 
baboon, 3, 1000, 
bear, 3, 109, 
betaling, 7, 16049, 
bird, 3, 16, 
camel, 13, 1000, 
cat, 9, 603, 
categories, 3, 16, 
category, 3, 16, 
cities, 4, 600, 
city, 4, 600, 
countries, 3, 109, 
country, 3, 109, 
customer, 9, 599, 
customers, 9, 599, 
dog, 4, 200, 
film, 13, 1000, 
film_actor, 3, 5462, 
film_actors, 3, 5462, 
film_categories, 3, 1000, 
film_category, 3, 1000, 
film_text, 3, 1000, 
film_texts, 3, 1000, 
films, 13, 1000, 
fish, 9, 599, 
fliek, 13, 1000, 
fliek_akteur, 3, 5462, 
fliek_katagorie, 3, 1000, 
fliek_woorde, 3, 1000, 
human, 3, 6, 
inventories, 4, 4581, 
inventory, 4, 4581, 
katagorie, 3, 16, 
klient, 9, 599, 
land, 3, 109, 
language, 3, 6, 
languages, 3, 6, 
lion, 4, 600, 
monkey, 3, 1000, 
payment, 7, 16049, 
payments, 7, 16049, 
rhino_actor, 3, 5462, 
stad, 4, 600, 
taal, 3, 6, 
voorraad, 4, 4581, 
