Column Name, Row Count, Nulls Count, Blanks Count, % Nulls , % Blanks, 
rowstamp, 1396, 0, 0, 0.00, 0.00, 
itemnum, 1396, 0, 1335, 0.00, 95.63, 
storeloc, 1396, 0, 1396, 0.00, 100.00, 
transdate, 1396, 0, 0, 0.00, 0.00, 
actualdate, 1396, 0, 0, 0.00, 0.00, 
quantity, 1396, 0, 381, 0.00, 27.29, 
curbal, 1396, 0, 0, 0.00, 0.00, 
physcnt, 1396, 0, 0, 0.00, 0.00, 
unitcost, 1396, 0, 394, 0.00, 28.22, 
actualcost, 1396, 0, 394, 0.00, 28.22, 
ponum, 1396, 0, 0, 0.00, 0.00, 
conversion, 1396, 0, 0, 0.00, 0.00, 
eqnum, 1396, 0, 1396, 0.00, 100.00, 
enterby, 1396, 0, 0, 0.00, 0.00, 
it1, 1396, 0, 1396, 0.00, 100.00, 
it2, 1396, 0, 1396, 0.00, 100.00, 
it3, 1396, 0, 1396, 0.00, 100.00, 
it4, 1396, 0, 1396, 0.00, 100.00, 
it5, 1396, 0, 1396, 0.00, 100.00, 
ldkey, 1396, 0, 1396, 0.00, 100.00, 
meterreading, 1396, 0, 0, 0.00, 0.00, 
meterreading2, 1396, 0, 0, 0.00, 0.00, 
memo, 1396, 0, 1359, 0.00, 97.35, 
outside, 1396, 0, 0, 0.00, 0.00, 
issueto, 1396, 0, 1396, 0.00, 100.00, 
packingslipnum, 1396, 0, 1200, 0.00, 85.96, 
polinenum, 1396, 0, 0, 0.00, 0.00, 
rollup, 1396, 0, 0, 0.00, 0.00, 
itin1, 1396, 0, 1236, 0.00, 88.54, 
itin2, 1396, 0, 1396, 0.00, 100.00, 
itin3, 1396, 0, 1396, 0.00, 100.00, 
binnum, 1396, 0, 1396, 0.00, 100.00, 
lotnum, 1396, 0, 1396, 0.00, 100.00, 
issuetype, 1396, 0, 0, 0.00, 0.00, 
gldebitacct, 1396, 0, 0, 0.00, 0.00, 
glcreditacct, 1396, 0, 76, 0.00, 5.44, 
linecost, 1396, 0, 34, 0.00, 2.44, 
financialperiod, 1396, 0, 0, 0.00, 0.00, 
currencycode, 1396, 0, 0, 0.00, 0.00, 
currencyunitcost, 1396, 0, 394, 0.00, 28.22, 
roteqnum, 1396, 0, 1396, 0.00, 100.00, 
currencylinecost, 1396, 0, 367, 0.00, 26.29, 
location, 1396, 0, 1396, 0.00, 100.00, 
description, 1396, 0, 0, 0.00, 0.00, 
exchangerate, 1396, 0, 0, 0.00, 0.00, 
sparepartadded, 1396, 0, 0, 0.00, 0.00, 
qtyrequested, 1396, 0, 0, 0.00, 0.00, 
exchangerate2, 1396, 0, 1015, 0.00, 72.71, 
linecost2, 1396, 0, 0, 0.00, 0.00, 
mrnum, 1396, 0, 1396, 0.00, 100.00, 
mrlinenum, 1396, 0, 1396, 0.00, 100.00, 
matusetransid, 1396, 0, 0, 0.00, 0.00, 
matrectransid, 1396, 0, 0, 0.00, 0.00, 
it6, 1396, 0, 1396, 0.00, 100.00, 
it7, 1396, 0, 1396, 0.00, 100.00, 
it8, 1396, 0, 0, 0.00, 0.00, 
it9, 1396, 0, 1396, 0.00, 100.00, 
it10, 1396, 0, 1396, 0.00, 100.00, 
it11, 1396, 0, 1396, 0.00, 100.00, 
it12, 1396, 0, 1396, 0.00, 100.00, 
itin4, 1396, 0, 1396, 0.00, 100.00, 
itin5, 1396, 0, 1396, 0.00, 100.00, 
itin6, 1396, 0, 1396, 0.00, 100.00, 
itin7, 1396, 0, 1396, 0.00, 100.00, 
sourcesysid, 1396, 0, 1396, 0.00, 100.00, 
ownersysid, 1396, 0, 1396, 0.00, 100.00, 
externalrefid, 1396, 0, 381, 0.00, 27.29, 
apiseq, 1396, 0, 1396, 0.00, 100.00, 
interid, 1396, 0, 1396, 0.00, 100.00, 
migchangeid, 1396, 0, 1396, 0.00, 100.00, 
sendersysid, 1396, 0, 1396, 0.00, 100.00, 
fincntrlid, 1396, 0, 1396, 0.00, 100.00, 
issueid, 1396, 0, 1396, 0.00, 100.00, 
qtyreturned, 1396, 0, 1396, 0.00, 100.00, 
orgid, 1396, 0, 0, 0.00, 0.00, 
siteid, 1396, 0, 0, 0.00, 0.00, 
refwo, 1396, 0, 1396, 0.00, 100.00, 
enteredastask, 1396, 0, 0, 0.00, 0.00, 
